城市,行政區,場站名稱,經度,緯度,OSM是否捷運站,OSM是否火車站,OSM是否公車站,OSM是否學校,OSM是否公園,OSM是否商圈,OSM是否醫院,場站,場站分類來源,場站分類狀態,分類版本
新北市,三峽區,學成大德路口,121.37634,24.94334,False,False,True,True,True,True,True,"公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,學成大義路口(學成路一),121.37803,24.94477,False,False,True,True,True,True,True,"公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,安溪國中,121.37185,24.92638,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,安溪國小,121.37265,24.93122,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,復興民生街口,121.37339809342711,24.936959752151225,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,恩主公醫院,121.36355,24.93891,False,False,True,True,False,False,True,"公車站,學校,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,捷運三峽站,121.37656,24.93835,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,捷運橫溪站,121.39136,24.93759,True,False,True,False,False,False,False,"捷運站,公車站",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,捷運臺北大學站(1號出口),121.36739,24.93909,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,捷運臺北大學站(2號出口),121.36712,24.93883,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
