K值,Silhouette,Davies-Bouldin,Calinski-Harabasz,初始化穩定性ARI,最小群站數,最大群站數,最小群比例,符合群大小條件,Silhouette排名,Davies-Bouldin排名,Calinski-Harabasz排名,穩定性排名,群大小平衡排名,綜合分數
4,0.1935532824084029,1.5756603648341878,400.32262278757884,0.9966998947715375,41,617,0.026623376623376622,True,1.0,0.6,1.0,0.8,0.6,0.8400000000000001
5,0.17602221181296632,1.514833401375755,373.93914683949004,0.9993448306167318,41,551,0.026623376623376622,True,0.6,0.8,0.8,1.0,0.6,0.75
6,0.17812069429560856,1.470727359361361,346.34014890252337,0.9729597929812985,41,503,0.026623376623376622,True,0.8,1.0,0.6,0.6,0.6,0.75
7,0.17203729318910937,1.5833595578186948,316.6285837954279,0.9123104705916557,41,479,0.026623376623376622,True,0.4,0.4,0.4,0.2,0.6,0.38000000000000006
8,0.1417143944318977,1.7022654932927272,292.77187930347185,0.9624750106096809,41,351,0.026623376623376622,True,0.2,0.2,0.2,0.4,0.6,0.28
