城市,行政區,場站名稱,總車柱數中位數,經度,緯度,場站類型原文,有效觀測筆數,資料涵蓋日數,資料起始時間,資料結束時間,平均可借比例,可借比例標準差,平均可還位比例,可還位比例標準差,平均不可用柱比例,平均活動強度30,活動強度30標準差,平均活動強度60,30分鐘連續資料率,60分鐘連續資料率,早高峰淨變化30比例,日間淨變化30比例,晚高峰淨變化30比例,夜間淨變化30比例,早高峰活動強度,日間活動強度,晚高峰活動強度,夜間活動強度,缺車率5,滿車率5,低車率10,低空位率10,早高峰缺車率,晚高峰缺車率,早高峰滿車率,晚高峰滿車率,平日活動強度,假日活動強度,國定假日活動強度,平日平均可借比例,假日平均可借比例,是否捷運站,是否火車站,是否公車站,是否學校,是否公園,是否商圈,是否醫院,平均每日可借比例範圍,假日相對平日活動差,假日相對平日可借比例差,分群
新北市,三峽區,三峽中山公園,15.0,121.36583999999225,24.93560999999917,"公車站,學校,公園,醫院",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.4167216721672209,0.16318534275171737,0.5504139887672939,0.17505878977321235,0.032864339065485124,0.02243744955609362,0.0588628857536166,0.037576864535768154,0.9326037866944589,0.9510161542470037,-0.0025362318840579717,-0.0027418126428027435,0.0009870918754745625,0.002324709411323585,0.02398550724637677,0.02680883472962682,0.0369779802581624,0.025421822272215924,0.0074691679694285215,0.0005211047420531526,0.02171269758554803,0.006600660066006601,0.010427528675703858,0.04479166666666667,0.0010427528675703858,0.01875,0.021208507255019042,0.027793696275071673,0.017016693591814742,0.42355808285946533,0.404489664082688,0,0,1,1,1,0,1,0.37055555555555547,0.006585189020052631,-0.01906841877677734,平穩低波動型
新北市,三峽區,三峽區公所(三峽老街),33.0,121.3692899999877,24.933900000002797,"公車站,學校,公園,商圈",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.34940862507302733,0.20036600935388324,0.633410709492004,0.20183221190699002,0.01718066543496487,0.03466018160426542,0.07562143284404096,0.05417764302400693,0.9350356088240404,0.9531005732152162,0.0030041797283176567,0.00892754423506132,-0.005901843031683578,-0.008930701844087665,0.026907001044932273,0.05103426060145917,0.059121971422655205,0.033473088591199046,0.02918186555497655,0.009727288518325517,0.07781830814660413,0.01928087545596665,0.03023983315954119,0.06979166666666667,0.0,0.058333333333333334,0.026359855236861,0.051328738024017384,0.04215009546188884,0.33011676472277135,0.38392647404275165,0,0,1,1,1,1,0,0.5179292929292928,0.024968882787156383,0.0538097093199803,平穩低波動型
新北市,三峽區,三峽區礁溪行政中心,20.0,121.37592000001158,24.92842999999994,"公車站,學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.44960917144345974,0.20986635801670883,0.5394128886572914,0.2113062124526088,0.010977939899252926,0.03727475385472813,0.07738325455831244,0.059139784946237596,0.9350356088240404,0.9531005732152162,-0.0023168103448275856,-0.014085041761579356,-0.001195899772209563,0.01827896512935884,0.03636853448275872,0.04430523917995434,0.054271070615034084,0.051124859392575904,0.05680041688379364,0.002258120548896995,0.08945631405245788,0.009900990099009901,0.027111574556830033,0.16979166666666667,0.008342022940563087,0.005208333333333333,0.03631907308377857,0.04248927038626594,0.030694668820678592,0.4534660167885202,0.44270833333333487,0,0,1,1,1,0,0,0.5391666666666668,0.006170197302487371,-0.010757683455185352,平穩低波動型
新北市,三峽區,三峽原住民族生活文化園區,31.0,121.3667200000076,24.945649999998597,"學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.3827654412300343,0.18809484193895162,0.6126230619666285,0.19104463690625745,0.0046114968033305935,0.0045970615098927655,0.022774332707764404,0.008506387179532598,0.9263505297898211,0.9478895257946848,-0.005014025245441792,-0.001017369727047146,0.005827981736515828,0.0004754590008046226,0.00683730715287517,0.0035483870967741925,0.008797653958944275,0.0039865408529002975,0.000694806322737537,0.0,0.058537432690637485,0.0,0.05005213764337852,0.06979166666666667,0.0,0.0,0.0047577980406787205,0.004471876091766622,0.004012715618322996,0.39847837670222164,0.3546511627906987,0,0,0,1,1,0,0,0.1311827956989247,-0.0002859219489120988,-0.043827213911522944,平穩低波動型
新北市,三峽區,三峽國中,33.0,121.36899999999088,24.938899999998167,"捷運站,公車站,學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.31091003837225034,0.19760638628204474,0.606950168701086,0.24488741909954076,0.08213979292666003,0.047861111580228,0.10607210711440174,0.07167906511810061,0.9350356088240404,0.9531005732152162,0.018123040752351167,0.002277904328018223,-0.013667425968109343,-0.0033064048812080273,0.07618207941483841,0.03817215434527538,0.10547387312763203,0.03766574632716391,0.08407156505124197,0.005384749001215911,0.17352787910369985,0.01615424700364773,0.056308654848800835,0.3177083333333333,0.023983315954118872,0.019791666666666666,0.05924665550334073,0.03455152382191038,0.016008224408870637,0.2957355849313567,0.3380608409678136,1,0,1,1,1,0,0,0.5964646464646463,-0.024695131681430352,0.04232525603645687,均衡流動型
新北市,三峽區,三峽國光青年社會住宅,30.0,121.37685999999525,24.93743000000144,"捷運站,公車站,學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.44443865439175434,0.20858671171715612,0.5437554281743949,0.2096962400782659,0.011805917433848534,0.03649142361756081,0.07628454745927761,0.059103335155823195,0.9350356088240404,0.9531005732152162,-0.011566091954022986,-0.010883320678309279,0.005694760820045554,0.014773153355830496,0.046048850574712724,0.034624145785877136,0.06317388003037222,0.045819272590926344,0.04307799200972729,0.001389612645475074,0.07417057495223206,0.008163974292166058,0.04483837330552659,0.12604166666666666,0.005213764337851929,0.0125,0.03943355119825677,0.03488316642823091,0.024124932687129744,0.46080873725065236,0.415148578811369,1,0,1,1,1,0,0,0.5394444444444443,-0.00455038477002586,-0.04566015843928334,平穩低波動型
新北市,三峽區,三峽國小(中山路),21.0,121.36779000000608,24.934739999997753,"公車站,學校,公園,商圈",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.3805139912487512,0.19019523281955752,0.6126289320661346,0.18928467738363236,0.006857076685112158,0.02127414801638975,0.061377563355887434,0.03708332248518125,0.9346882056626715,0.9531005732152162,-0.0014367816091954014,0.0023537932283179443,-0.001735546154680556,0.002089024586212436,0.02411740558292278,0.021111714647836267,0.037422713960299336,0.02555037763136746,0.04151467778356783,0.003126628452318916,0.08511377453534827,0.005384749001215911,0.09801876955161627,0.10208333333333333,0.0,0.020833333333333332,0.01884094898363654,0.02667075413856534,0.02230940841603198,0.36740035846452446,0.4039774824658572,0,0,1,1,1,1,0,0.38650793650793636,0.007829805154928801,0.03657712400133273,平穩低波動型
新北市,三峽區,三樹大學路口,24.0,121.37815999999728,24.939509999997345,"捷運站,公車站,學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.2421255283423073,0.26282539702354973,0.7421472410398949,0.2759608404231165,0.015727230617798807,0.0285030663445456,0.06231365525666639,0.04463580584411615,0.9346882056626715,0.9531005732152162,-0.003996048850574713,-0.0009188846641318124,0.005599848139711464,0.0038901387326584153,0.02464978448275864,0.028295310519645112,0.05030372057706903,0.03716722909636299,0.46083029355567134,0.005037345839847143,0.4780267500434254,0.010074691679694285,0.48175182481751827,0.47708333333333336,0.0020855057351407717,0.026041666666666668,0.02967697185889822,0.028105627086313766,0.023021001615508872,0.25328323855943713,0.22216166020671801,1,0,1,1,1,0,0,0.3465277777777777,-0.0015713447725844536,-0.031121578352719115,均衡流動型
新北市,三峽區,三樹大德路口,15.0,121.3787099999958,24.941629999999737,"公車站,學校,公園,商圈",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.42410977939899464,0.21545392425045404,0.5324648254299188,0.2252016708369712,0.04342539517109556,0.05258006566313482,0.09602918899104264,0.08100358422938865,0.9346882056626715,0.9531005732152162,-0.01688218390804597,-0.0018250950570342212,0.0036446469248291547,0.008998875140607427,0.06659482758620729,0.059214195183777255,0.08595292331055471,0.053843269591301285,0.026055237102657634,0.003821434775056453,0.10074691679694285,0.01354872329338197,0.06986444212721585,0.165625,0.01251303441084463,0.036458333333333336,0.05463733650416129,0.05569861707200791,0.034356488960689234,0.4126906760537945,0.44454134366925274,0,0,1,1,1,1,0,0.6322222222222224,0.0010612805678466217,0.03185066761545824,醫院周邊－雙尖峰高流動型
新北市,三峽區,三鶯國民運動中心,17.0,121.3685800000072,24.93696999999912,"捷運站,公車站,學校,公園,商圈",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.40940440793304744,0.21596134162230365,0.5774760138552614,0.2162765856181122,0.013119578211691324,0.04861710614024665,0.0958035551685587,0.07780958200667046,0.9350356088240404,0.9531005732152162,0.012423935091277864,-0.0016525972575818474,-0.01574433873777299,-0.0006616819956328961,0.04918864097363104,0.05793023359685614,0.07939166555004731,0.0640508171772649,0.03039777661976724,0.005384749001215911,0.08719819350356088,0.01806496439117596,0.013555787278415016,0.16666666666666666,0.01251303441084463,0.04479166666666667,0.048582712942575525,0.05238576117142171,0.0402926921980423,0.3861200044599474,0.451065891472866,1,0,1,1,1,1,0,0.6401960784313726,0.0038030482288461884,0.06494588701291865,平穩低波動型
