分群,場站數,場站占比,命名依據,平均總車柱數,平均可借比例,平均活動強度30,平均活動強度60,早高峰淨變化,晚高峰淨變化,假日活動差,缺車率,滿車率,捷運站比例,火車站比例,公車站比例,學校比例,公園比例,商圈比例,醫院比例
平穩低波動型,618,0.4012987012987013,低車風險偏低、早高峰缺車風險偏低、晚高峰缺車風險偏低、60分鐘活動強度偏低、早高峰活動偏低、平日活動偏低,23.461165048543688,0.40013963030074895,0.026318141619416036,0.043601919084164234,-0.0031621323094935608,-0.0003313465273266538,0.0008908073632330534,0.09154868963056392,0.014004383321676238,0.1715210355987055,0.014563106796116505,0.9352750809061489,0.5857605177993528,0.8187702265372169,0.156957928802589,0.1925566343042071
均衡流動型,457,0.29675324675324677,場站容量偏高、平均可借車比例偏低、低車風險偏高、晚高峰缺車風險偏高、早高峰缺車風險偏高、嚴重缺車風險偏高,45.457330415754925,0.29622911584401695,0.03421712160496119,0.05651964076346361,-0.006264670275865183,0.0006617673141294705,-0.0032186325782385234,0.26686124588616617,0.011065704854864841,0.27571115973741794,0.0525164113785558,0.9912472647702407,0.7199124726477024,0.9146608315098468,0.41575492341356673,0.4660831509846827
醫院周邊－雙尖峰高流動型,424,0.2753246753246753,30分鐘活動強度偏高、60分鐘活動強度偏高、平日活動偏高、活動波動偏高、假日活動偏高、夜間活動偏高,21.71933962264151,0.3879152767631462,0.07390015683729989,0.11229003418948365,-0.014879115965269179,0.0034406451923418967,-0.0018491436963763257,0.1869954996102199,0.04784078136347635,0.27358490566037735,0.01650943396226415,0.9882075471698113,0.7075471698113207,0.9033018867924528,0.4033018867924528,0.5235849056603774
火車站周邊－通勤到達型－高滿車風險,41,0.026623376623376622,嚴重滿車風險偏高、低空位風險偏高、晚高峰滿車風險偏高、嚴重缺車風險偏高、低車風險偏高、平均可借車比例偏低,27.24390243902439,0.13286766276079512,0.014919764217613969,0.02791519203574706,0.03247938054316353,-0.029027074086684795,0.002527195142366876,0.6208290975267969,0.5183176010554487,0.024390243902439025,0.1951219512195122,0.9024390243902439,0.3902439024390244,0.5853658536585366,0.21951219512195122,0.2682926829268293
